classifier_name,dataset_name,accuracy
pWalk,100_2_0.2_0.05_41,0.5733176608874523
pWalk,100_2_0.2_0.05_42,0.7721128416103438
pWalk,100_2_0.2_0.05_43,0.8448427857772554
pWalk,100_2_0.2_0.05_44,0.9599960816486464
pWalk,100_2_0.2_0.05_45,0.8824127248460211
pWalk,100_2_0.2_0.05_46,0.8080808080808081
pWalk,100_2_0.2_0.05_47,0.9208
pWalk,100_2_0.2_0.05_48,0.5135174845724361
pWalk,100_2_0.2_0.05_49,0.9208012930401136
pWalk,100_2_0.2_0.05_50,0.7721128416103438
pWalk,100_2_0.2_0.05_51,0.9208012930401136
pWalk,100_2_0.2_0.05_52,0.8080682750429576
pWalk,100_2_0.2_0.05_53,1.0
pWalk,100_2_0.2_0.05_54,0.8824127248460211
pWalk,100_2_0.2_0.05_55,0.4849661948498659
pWalk,100_2_0.2_0.05_56,0.8448427857772554
pWalk,100_2_0.2_0.05_57,0.8824165642894751
pWalk,100_2_0.2_0.05_58,0.5429855388345354
pWalk,100_2_0.2_0.05_59,0.8824165642894751
pWalk,100_2_0.2_0.05_60,0.8080682750429576
pWalk,100_2_0.2_0.05_61,0.8448326530612245
pWalk,100_2_0.2_0.05_62,0.7026153394064061
pWalk,100_2_0.2_0.05_63,0.8448326530612245
pWalk,100_2_0.2_0.05_64,0.8448427857772554
pWalk,100_2_0.2_0.05_65,0.8080620079101718
pWalk,100_2_0.2_0.05_66,0.8080620079101718
pWalk,100_2_0.2_0.05_67,0.8448427857772554
pWalk,100_2_0.2_0.05_68,0.8824165642894751
pWalk,100_2_0.2_0.05_69,0.6690692994951206
pWalk,100_2_0.2_0.05_70,0.9208
pWalk,100_2_0.2_0.05_71,0.8824127248460211
pWalk,100_2_0.2_0.05_72,0.8448351863643042
pWalk,100_2_0.2_0.05_73,0.8080620079101718
pWalk,100_2_0.2_0.05_74,0.7026153394064061
pWalk,100_2_0.2_0.05_75,0.7369439308410987
pWalk,100_2_0.2_0.05_76,0.8824127248460211
pWalk,100_2_0.2_0.05_77,0.7369439308410987
pWalk,100_2_0.2_0.05_78,0.7026007738649165
pWalk,100_2_0.2_0.05_79,0.8448427857772554
pWalk,100_2_0.2_0.05_80,0.8080620079101718
pWalk,100_2_0.2_0.05_81,0.9208012930401136
pWalk,100_2_0.2_0.05_82,0.9599960816486464
pWalk,100_2_0.2_0.05_83,0.8824165642894751
pWalk,100_2_0.2_0.05_84,0.8824165642894751
pWalk,100_2_0.2_0.05_85,0.9599960816486464
pWalk,100_2_0.2_0.05_86,0.8448427857772554
pWalk,100_2_0.2_0.05_87,1.0
pWalk,100_2_0.2_0.05_88,0.8448351863643042
pWalk,100_2_0.2_0.05_89,0.7369439308410987
pWalk,100_2_0.2_0.05_90,0.7025959183673469
pWalk,100_2_0.2_0.05_91,0.6044831849956539
pWalk,100_2_0.2_0.05_92,0.6044831849956539
pWalk,100_2_0.2_0.05_93,0.8824127248460211
pWalk,100_2_0.2_0.05_94,0.8448427857772554
pWalk,100_2_0.2_0.05_95,0.7369525201115061
pWalk,100_2_0.2_0.05_96,0.5136127705415728
pWalk,100_2_0.2_0.05_97,0.9208
pWalk,100_2_0.2_0.05_98,0.9599960816486464
pWalk,100_2_0.2_0.05_99,0.5734012339633728
Walk,100_2_0.2_0.05_0,0.9599960816486464
Walk,100_2_0.2_0.05_1,1.0
Walk,100_2_0.2_0.05_2,0.8824165642894751
Walk,100_2_0.2_0.05_3,1.0
Walk,100_2_0.2_0.05_4,1.0
Walk,100_2_0.2_0.05_5,0.9599960816486464
Walk,100_2_0.2_0.05_6,1.0
Walk,100_2_0.2_0.05_7,1.0
Walk,100_2_0.2_0.05_8,0.9599960816486464
Walk,100_2_0.2_0.05_9,1.0
Walk,100_2_0.2_0.05_10,0.9208
Walk,100_2_0.2_0.05_11,1.0
Walk,100_2_0.2_0.05_12,0.9208
Walk,100_2_0.2_0.05_13,0.9599960816486464
Walk,100_2_0.2_0.05_14,1.0
Walk,100_2_0.2_0.05_15,0.9599960816486464
Walk,100_2_0.2_0.05_16,0.9599960816486464
Walk,100_2_0.2_0.05_17,0.9599960816486464
Walk,100_2_0.2_0.05_18,0.9208012930401136
Walk,100_2_0.2_0.05_19,0.9599960816486464
Walk,100_2_0.2_0.05_20,1.0
Walk,100_2_0.2_0.05_21,1.0
Walk,100_2_0.2_0.05_22,0.8824127248460211
Walk,100_2_0.2_0.05_23,0.8824127248460211
Walk,100_2_0.2_0.05_24,1.0
Walk,100_2_0.2_0.05_25,1.0
Walk,100_2_0.2_0.05_26,1.0
Walk,100_2_0.2_0.05_27,0.9599960816486464
Walk,100_2_0.2_0.05_28,1.0
Walk,100_2_0.2_0.05_29,0.9599960816486464
Walk,100_2_0.2_0.05_30,1.0
Walk,100_2_0.2_0.05_31,1.0
Walk,100_2_0.2_0.05_32,1.0
Walk,100_2_0.2_0.05_33,0.9599960816486464
Walk,100_2_0.2_0.05_34,1.0
Walk,100_2_0.2_0.05_35,0.9599960816486464
Walk,100_2_0.2_0.05_36,1.0
Walk,100_2_0.2_0.05_37,1.0
Walk,100_2_0.2_0.05_38,1.0
Walk,100_2_0.2_0.05_39,1.0
Walk,100_2_0.2_0.05_40,0.9599960816486464
Walk,100_2_0.2_0.05_41,0.9208012930401136
Walk,100_2_0.2_0.05_42,0.8824127248460211
Walk,100_2_0.2_0.05_43,0.9599960816486464
Walk,100_2_0.2_0.05_44,0.9208
Walk,100_2_0.2_0.05_45,1.0
Walk,100_2_0.2_0.05_46,1.0
Walk,100_2_0.2_0.05_47,0.9208012930401136
Walk,100_2_0.2_0.05_48,1.0
Walk,100_2_0.2_0.05_49,0.9208012930401136
Walk,100_2_0.2_0.05_50,1.0
Walk,100_2_0.2_0.05_51,1.0
Walk,100_2_0.2_0.05_52,1.0
Walk,100_2_0.2_0.05_53,1.0
Walk,100_2_0.2_0.05_54,1.0
Walk,100_2_0.2_0.05_55,0.9599960816486464
Walk,100_2_0.2_0.05_56,1.0
Walk,100_2_0.2_0.05_57,1.0
Walk,100_2_0.2_0.05_58,1.0
Walk,100_2_0.2_0.05_59,1.0
Walk,100_2_0.2_0.05_60,1.0
Walk,100_2_0.2_0.05_61,1.0
Walk,100_2_0.2_0.05_62,1.0
Walk,100_2_0.2_0.05_63,1.0
Walk,100_2_0.2_0.05_64,1.0
Walk,100_2_0.2_0.05_65,0.9599960816486464
Walk,100_2_0.2_0.05_66,1.0
Walk,100_2_0.2_0.05_67,0.9599960816486464
