classifier_name,dataset_name,accuracy
inertia_one,cora_DB_logFor_4,0.18652061837173817
inertia_all,cora_DB_logFor_4,0.22234206814278107
inertia_kmp,cora_DB_logFor_4,0.24706475756702415
inertia_any2,cora_DB_logFor_4,0.24706475756702415
inertia_any3,cora_DB_logFor_4,0.22080458123106866
modularity_one,cora_DB_logFor_4,0.2111278800573888
modularity_all,cora_DB_logFor_4,0.20726851452228415
modularity_kmp,cora_DB_logFor_4,0.21145090513913767
modularity_any2,cora_DB_logFor_4,0.21140277424357293
modularity_any3,cora_DB_logFor_4,0.2111278800573888
inertia_one,cora_DB_Comm_0,0.05013544477733893
inertia_all,cora_DB_Comm_0,0.06668098208254687
inertia_kmp,cora_DB_Comm_0,0.04642726691092935
inertia_any2,cora_DB_Comm_0,0.051960440293218564
inertia_any3,cora_DB_Comm_0,0.051960440293218564
modularity_one,cora_DB_Comm_0,0.039944299994875754
modularity_all,cora_DB_Comm_0,0.05701800797436204
modularity_kmp,cora_DB_Comm_0,0.04351376227346721
modularity_any2,cora_DB_Comm_0,0.0537451157515592
modularity_any3,cora_DB_Comm_0,0.04421716114913073
inertia_one,cora_DB_Comm_1,0.03291539049189228
inertia_all,cora_DB_Comm_1,0.06551860542857796
inertia_kmp,cora_DB_Comm_1,0.04642726691092935
inertia_any2,cora_DB_Comm_1,0.06085225807035264
inertia_any3,cora_DB_Comm_1,0.06668098208254687
modularity_one,cora_DB_Comm_1,0.03566790109782842
modularity_all,cora_DB_Comm_1,0.060302268746674485
modularity_kmp,cora_DB_Comm_1,0.04351376227346721
modularity_any2,cora_DB_Comm_1,0.060302268746674485
modularity_any3,cora_DB_Comm_1,0.04917005812886999
inertia_one,cora_DB_Comm_2,0.03291539049189228
inertia_all,cora_DB_Comm_2,0.06551860542857796
inertia_kmp,cora_DB_Comm_2,0.04642726691092935
inertia_any2,cora_DB_Comm_2,0.07073668092242091
inertia_any3,cora_DB_Comm_2,0.07073668092242091
modularity_one,cora_DB_Comm_2,0.03566790109782842
modularity_all,cora_DB_Comm_2,0.060302268746674485
modularity_kmp,cora_DB_Comm_2,0.04351376227346721
modularity_any2,cora_DB_Comm_2,0.060302268746674485
modularity_any3,cora_DB_Comm_2,0.060302268746674485
inertia_one,cora_DB_Comm_3,0.03291539049189228
inertia_all,cora_DB_Comm_3,0.06668098208254687
inertia_kmp,cora_DB_Comm_3,0.04642726691092935
inertia_any2,cora_DB_Comm_3,0.0712168920950147
inertia_any3,cora_DB_Comm_3,0.06006577164736354
modularity_one,cora_DB_Comm_3,0.03566790109782842
modularity_all,cora_DB_Comm_3,0.060302268746674485
modularity_kmp,cora_DB_Comm_3,0.04351376227346721
modularity_any2,cora_DB_Comm_3,0.07545821144148114
modularity_any3,cora_DB_Comm_3,0.06006577164736354
inertia_one,cora_DB_Comm_4,0.0369126489766735
inertia_all,cora_DB_Comm_4,0.06668098208254687
inertia_kmp,cora_DB_Comm_4,0.04642726691092935
inertia_any2,cora_DB_Comm_4,0.06668098208254687
inertia_any3,cora_DB_Comm_4,0.06668098208254687
modularity_one,cora_DB_Comm_4,0.014298446916766787
modularity_all,cora_DB_Comm_4,0.060302268746674485
modularity_kmp,cora_DB_Comm_4,0.04351376227346721
modularity_any2,cora_DB_Comm_4,0.07545821144148114
modularity_any3,cora_DB_Comm_4,0.04276382202631552
inertia_one,cora_DB_logComm_0,0.1812280470916845
inertia_all,cora_DB_logComm_0,0.19026092310322273
inertia_kmp,cora_DB_logComm_0,0.1922804597970799
inertia_any2,cora_DB_logComm_0,0.21395433417561016
inertia_any3,cora_DB_logComm_0,0.19026092310322273
modularity_one,cora_DB_logComm_0,0.20085495544381682
modularity_all,cora_DB_logComm_0,0.21819770121264176
modularity_kmp,cora_DB_logComm_0,0.20666494450966452
modularity_any2,cora_DB_logComm_0,0.21204214660425527
modularity_any3,cora_DB_logComm_0,0.21204214660425527
inertia_one,cora_DB_logComm_1,0.18202457304121228
inertia_all,cora_DB_logComm_1,0.19026092310322273
inertia_kmp,cora_DB_logComm_1,0.19381678541319033
inertia_any2,cora_DB_logComm_1,0.19381678541319033
inertia_any3,cora_DB_logComm_1,0.19108470471691893
modularity_one,cora_DB_logComm_1,0.1945453689201723
modularity_all,cora_DB_logComm_1,0.20189688011506102
modularity_kmp,cora_DB_logComm_1,0.21464210596164915
modularity_any2,cora_DB_logComm_1,0.19852214808013013
modularity_any3,cora_DB_logComm_1,0.19852214808013013
inertia_one,cora_DB_logComm_2,0.18202457304121228
inertia_all,cora_DB_logComm_2,0.19026092310322273
inertia_kmp,cora_DB_logComm_2,0.1922437682861528
inertia_any2,cora_DB_logComm_2,0.18939965462861044
inertia_any3,cora_DB_logComm_2,0.18737738211603228
modularity_one,cora_DB_logComm_2,0.1945453689201723
modularity_all,cora_DB_logComm_2,0.20189688011506102
modularity_kmp,cora_DB_logComm_2,0.19477973217777403
modularity_any2,cora_DB_logComm_2,0.19640548928906923
modularity_any3,cora_DB_logComm_2,0.19374459334561944
inertia_one,cora_DB_logComm_3,0.18202457304121228
inertia_all,cora_DB_logComm_3,0.19026092310322273
inertia_kmp,cora_DB_logComm_3,0.1922437682861528
inertia_any2,cora_DB_logComm_3,0.1951949646702241
inertia_any3,cora_DB_logComm_3,0.1951949646702241
modularity_one,cora_DB_logComm_3,0.1945453689201723
modularity_all,cora_DB_logComm_3,0.20189688011506102
modularity_kmp,cora_DB_logComm_3,0.19477973217777403
modularity_any2,cora_DB_logComm_3,0.20189688011506102
modularity_any3,cora_DB_logComm_3,0.20189688011506102
inertia_one,cora_DB_logComm_4,0.18202457304121228
inertia_all,cora_DB_logComm_4,0.19026092310322273
inertia_kmp,cora_DB_logComm_4,0.1922437682861528
inertia_any2,cora_DB_logComm_4,0.19381678541319033
inertia_any3,cora_DB_logComm_4,0.1951949646702241
modularity_one,cora_DB_logComm_4,0.19862864001550568
modularity_all,cora_DB_logComm_4,0.20189688011506102
modularity_kmp,cora_DB_logComm_4,0.19477973217777403
modularity_any2,cora_DB_logComm_4,0.20189688011506102
modularity_any3,cora_DB_logComm_4,0.20189688011506102
inertia_one,cora_DB_Heat_0,0.20814233348038613
inertia_all,cora_DB_Heat_0,0.19027338271951716
inertia_kmp,cora_DB_Heat_0,0.07440295082996037
inertia_any2,cora_DB_Heat_0,0.19027338271951716
inertia_any3,cora_DB_Heat_0,0.20814233348038613
modularity_one,cora_DB_Heat_0,0.18565680828352238
modularity_all,cora_DB_Heat_0,0.17309599784312973
modularity_kmp,cora_DB_Heat_0,0.10341312595024951
modularity_any2,cora_DB_Heat_0,0.19254128560204223
modularity_any3,cora_DB_Heat_0,0.1696309393335477
inertia_one,cora_DB_Heat_1,0.1895528345971985
inertia_all,cora_DB_Heat_1,0.2357174189309516
inertia_kmp,cora_DB_Heat_1,0.06617226078035765
inertia_any2,cora_DB_Heat_1,0.2357174189309516
inertia_any3,cora_DB_Heat_1,0.19135967670232967
modularity_one,cora_DB_Heat_1,0.1895528345971985
modularity_all,cora_DB_Heat_1,0.20958652065427716
modularity_kmp,cora_DB_Heat_1,0.09535283146724936
modularity_any2,cora_DB_Heat_1,0.19028775375817905
modularity_any3,cora_DB_Heat_1,0.19028775375817905
inertia_one,cora_DB_Heat_2,0.1895528345971985
inertia_all,cora_DB_Heat_2,0.2357174189309516
inertia_kmp,cora_DB_Heat_2,0.06617226078035765
inertia_any2,cora_DB_Heat_2,0.2357174189309516
inertia_any3,cora_DB_Heat_2,0.2357174189309516
modularity_one,cora_DB_Heat_2,0.1895528345971985
modularity_all,cora_DB_Heat_2,0.20958652065427716
modularity_kmp,cora_DB_Heat_2,0.09535283146724936
modularity_any2,cora_DB_Heat_2,0.1852042578426652
modularity_any3,cora_DB_Heat_2,0.1852042578426652
inertia_one,cora_DB_Heat_3,0.1895528345971985
inertia_all,cora_DB_Heat_3,0.2357174189309516
inertia_kmp,cora_DB_Heat_3,0.06617226078035765
inertia_any2,cora_DB_Heat_3,0.23230434860230917
inertia_any3,cora_DB_Heat_3,0.220075267486483
modularity_one,cora_DB_Heat_3,0.1895528345971985
modularity_all,cora_DB_Heat_3,0.20958652065427716
modularity_kmp,cora_DB_Heat_3,0.09535283146724936
modularity_any2,cora_DB_Heat_3,0.21333010702744204
modularity_any3,cora_DB_Heat_3,0.1852042578426652
inertia_one,cora_DB_Heat_4,0.1895528345971985
inertia_all,cora_DB_Heat_4,0.2357174189309516
inertia_kmp,cora_DB_Heat_4,0.06617226078035765
inertia_any2,cora_DB_Heat_4,0.2357174189309516
inertia_any3,cora_DB_Heat_4,0.2249035109446965
modularity_one,cora_DB_Heat_4,0.1895528345971985
modularity_all,cora_DB_Heat_4,0.20958652065427716
modularity_kmp,cora_DB_Heat_4,0.09535283146724936
modularity_any2,cora_DB_Heat_4,0.21333010702744204
modularity_any3,cora_DB_Heat_4,0.21333010702744204
inertia_one,cora_DB_logHeat_0,0.18700019358369313
inertia_all,cora_DB_logHeat_0,0.2377539315633922
inertia_kmp,cora_DB_logHeat_0,0.20095423598091766
inertia_any2,cora_DB_logHeat_0,0.23576562792201036
inertia_any3,cora_DB_logHeat_0,0.23576562792201036
modularity_one,cora_DB_logHeat_0,0.20188826422107867
modularity_all,cora_DB_logHeat_0,0.21177085391791176
modularity_kmp,cora_DB_logHeat_0,0.2161179497429768
